ID,BraTS21ID,MeshSurface,PixelSurface,Perimeter,PerimeterSurfaceRatio,Sphericity,SphericalDisproportion,MaximumDiameter,MajorAxisLength,MinorAxisLenth,Elongation,Autocorrelation,ClusterProminence,ClusterShade,ClusterTendency,Contrast,Correlation,DifferenceAverage,DifferenceEntropy,DifferenceVariance,Id,Idm,Idmn,Idn,Imc1,Imc2,InverseVariance,JointAverage,JointEnergy,JointEntropy,MCC,MaximumProbability,SumAverage,SumEntropy,SumSquares,10Percentile,90Percentile,Energy,Entropy,InterquartileRange,Kurtosis,Maximum,MeanAbsoluteDeviation,Mean,Median,Minimum,Range,RobustMeanAbsoluteDeviation,RootMeanSquared,Skewness,TotalEnergy,Uniformity,Variance
0.0,0,1970.0,1971.0,275.6639969244296,0.13993096290580184,0.5707658706605531,1.7520318775239485,68.15423684555495,63.79088163718111,47.456974950621714,0.7439460583181684,5.330686111440979,3.1299014101848663,0.2949656947477074,1.0175351255387302,0.12029201069041426,0.7883651276364155,0.11894786858514522,0.5284288881583875,0.1058857532277353,0.940750089391639,0.9406604799179543,0.992947719525951,0.9762552310198132,-0.5102102978917968,0.8276705311619313,0.1177717442430348,2.2597279037453193,0.43174248640462787,1.6961912652982036,0.8181913824750047,0.6066502444094464,4.519455807490639,1.571057233184022,0.284456784057286,106.0,137.0,28436903.0,1.1535021458681365,15.0,3.2497311892432585,161.0,9.545241619927301,119.48503297818367,118.0,78.0,83.0,6.5408926294666445,120.11516332536812,0.15514062839683318,28436903.0,0.520692352659993,150.9793548822204
2.0,2,1393.0,1394.0,263.178715550191,0.18892944404177386,0.5027241253767887,1.9891625436724487,92.35799911215054,61.12317405309953,35.07007645152603,0.5737607216055174,12.475223504294146,2.995348990600872,-0.5804062481620946,1.1279434829520127,0.08988282429863369,0.8521707081879312,0.08988282429863369,0.4343109563661667,0.0816096714159206,0.955058587850683,0.955058587850683,0.9947127750412568,0.9820234351402731,-0.6055884486717956,0.8654366071006501,0.08988282429863369,3.495096743475309,0.4055892063430958,1.5985800731249817,0.8601560508947071,0.48406227027366167,6.990193486950618,1.5086972488263488,0.30445657681266153,91.0,110.0,13953720.0,1.1637999974522852,10.0,8.089604477960162,116.0,6.577395643143704,99.62697274031564,100.0,46.0,70.0,4.442732583901997,100.04919880126351,-1.5870566904505927,13953720.0,0.4748337309518762,84.30848337515361
3.0,3,551.0,590.0,733.6366517139619,1.3314639777022903,0.11342262948274585,8.816582762720403,236.02754076590298,188.06118549650125,123.90669354627798,0.6588637268192865,7.280986414050133,12.98916237202266,-3.6886661583940223,1.8316039352491853,0.08272688676368829,0.9130790194752633,0.08272688676368829,0.40377912408710653,0.07516186982546122,0.9586365566181558,0.9586365566181558,0.9951337125433124,0.9834546226472624,-0.6576737685454648,0.8787399793611477,0.08272688676368829,2.616039170185108,0.5074016565278627,1.531778512842771,0.9700799395923023,0.6928168365635419,5.232078340370215,1.4490516260790836,0.4785827055032184,5.900000000000006,70.0,1944997.0,1.150447239618306,16.0,4.66729185004893,83.0,15.518207411663315,53.510169491525424,62.0,0.0,83.0,8.505129462019221,57.41606991727806,-1.6552160837029202,1944997.0,0.5720942257971846,433.26684573398444
5.0,5,1538.0,1539.0,219.4802307403558,0.14270496146967218,0.6334140489045336,1.578746164107764,63.387695966961914,60.36234864601621,39.75091634577144,0.6585382649519373,3.6665570396070177,3.0590808575943527,-0.2932503271624274,0.92375103392878,0.056124561800744675,0.8852878958511301,0.056124561800744675,0.3103863527061423,0.052865325557718224,0.9719377190996276,0.9719377190996276,0.9943875438199254,0.9859688595498138,-0.6905467659606261,0.8726641917860993,0.056124561800744675,1.8573190941750726,0.5377412729226307,1.3636750717850803,0.8996104668069748,0.7065947752925278,3.714638188350145,1.307550509984336,0.24496889893238116,68.0,97.0,11069884.0,1.0484710133692956,14.0,2.5633848692162906,114.0,8.36438942276636,84.15204678362574,84.0,62.0,52.0,5.957968680716003,84.8110080267952,-0.09242775370780718,11069884.0,0.5861315985798733,111.34010464758389
6.0,6,3355.0,3356.0,289.27922061357935,0.08622331463892081,0.7097966667768023,1.4088541786776987,76.94153624668537,68.27693856764937,67.04772513051807,0.9819966527070721,8.873934750223109,5.16630073315151,-0.09696211493954111,1.2172186479697849,0.11800961009401623,0.8231296504694116,0.11662303688055395,0.5207477077370273,0.10403087058661561,0.9419195770953,0.9418271388810693,0.995472202581637,0.9805958408345139,-0.5472554436577909,0.8631607584217887,0.11540978531877448,2.9324277295996484,0.42848533318751375,1.8280207747733617,0.8315363712861069,0.6248470653204247,5.864855459199297,1.7045603867231742,0.3338070645159502,144.0,177.0,86399118.0,1.2824670918655336,17.0,3.330758872475668,203.0,10.056195936759948,159.9356376638856,159.0,108.0,95.0,6.961387758939238,160.45146192196663,0.2478936020565605,86399118.0,0.5035094492137611,165.26343794261007
8.0,8,1087.5,1089.0,194.7523086789978,0.1790825826933313,0.6002566085419323,1.6659541698825673,60.40695324215582,45.20455593672337,35.60360782580091,0.7876110513205413,22.022011717079348,119.57852446709133,-18.664119241993305,4.154822985948188,0.17006862759615532,0.9200043899134205,0.13638764903943837,0.5874818343596264,0.15015225498179424,0.9374196719064003,0.9351742733359525,0.9955400951131718,0.9811174961828787,-0.598901626997089,0.8756957779963621,0.10691679280231103,4.585367337834025,0.5840484943476216,1.7219567561654845,0.9338566596126814,0.7610638532362215,9.17073467566805,1.5569309099113608,1.0812229033860858,52.0,119.0,11766693.0,1.3000847613165663,12.0,6.672844136869363,130.0,19.21853310633676,100.00642791551883,110.0,0.0,130.0,7.9383257254318425,103.9473139486297,-2.1477984714532763,11766693.0,0.6025620593614582,803.7584527131236
9.0,9,960.0,983.0,649.6122650963217,0.6766794428086684,0.16907770041467185,5.914440506036266,311.24267059643347,330.5118824692801,264.0628728280811,0.7989512233425519,8.12942757941531,254.60636197854453,32.30286989253338,12.25960888617538,0.0700393009405653,0.9886918655291139,0.0700393009405653,0.361959009341716,0.0647993100409085,0.9649803495297173,0.9649803495297173,0.9981070459205253,0.9899943855799193,-0.8073475733895669,0.9467323548203139,0.0700393009405653,2.253671550920952,0.4669129333595318,1.677125165335938,0.9999999999999255,0.6510955589203852,4.507343101841905,1.607085864395374,3.0824120467789866,0.0,109.0,3354094.0,1.413618582397156,91.5,1.8464571104767256,140.0,44.35447366160643,32.98067141403866,0.0,0.0,140.0,36.5016448983295,58.4131808311429,0.8472989369528027,3354094.0,0.49780655683755065,2324.375007891014
11.0,11,755.5,767.0,406.1320343559657,0.5375672195313907,0.23991362885927664,4.168166705471153,299.34762400927787,256.4391968009693,174.8105003345846,0.6816840113185219,14.68258083650931,222.59001287300936,-23.052010347607023,12.305839284410402,0.09990928349440839,0.983840461068964,0.0982481539263021,0.46380637120388196,0.08992204859280957,0.9511527779648666,0.9510420359936596,0.9973064834038057,0.9859942124671015,-0.7508902891204764,0.9596952676982169,0.09679466555420907,3.409727961346341,0.2926936906238094,2.1163790130805595,0.999999999999994,0.39070829964589865,6.819455922692681,2.0131497489555903,3.101437141976202,0.0,120.0,5106557.0,1.6598092155326085,112.0,1.2214092517839577,125.0,50.238257047131604,62.35071707953064,85.0,0.0,125.0,49.856140872621104,81.59553794329406,-0.24678270123728047,5106557.0,0.34554955132596393,2770.2198919238676
12.0,12,4256.5,4257.0,283.03657992646,0.06649514388029132,0.8171253482710806,1.2238024461190145,92.44457799135652,86.05170291611533,64.48411284429272,0.7493647500172418,14.044781827782337,7.3454299947121475,-0.09263268083286713,1.550136031540116,0.1951452027673866,0.7762492086227706,0.19430073560596758,0.7103908928002031,0.15664204479414945,0.9029903767239192,0.9029340789131581,0.9925011351760136,0.9676366504266583,-0.4412786460224115,0.8468797019153675,0.193561826839726,3.7021649351577723,0.29427699726887785,2.2525921235546855,0.7942984413033947,0.4534808196007687,7.404329870315546,2.05472817515336,0.4363203085768756,136.0,174.0,103033322.0,1.463622747305744,19.0,3.1469871913059695,197.0,11.69322464584441,154.86445853887713,154.0,89.0,108.0,8.069068138136277,155.5740028995867,0.08250251381699268,103033322.0,0.4164105835934998,220.269859661013
14.0,14,2045.0,2070.0,1436.1118318204067,0.7022551744843064,0.11162547704389877,8.95852834390783,329.5147948120084,385.8513819445845,262.0948391555682,0.6792637046799793,4.6515550457238435,539.1316604559049,60.86346748570571,8.704466051528458,0.05969580968651819,0.9863343822129731,0.05428996428009909,0.30639026174387607,0.056662544654647776,0.9737125591548123,0.9733956024005923,0.9988202766669042,0.9932873878865365,-0.8044279203153906,0.8778454736220713,0.04997004953403955,1.5777944010766312,0.7348880155911933,1.0960944556599248,0.9999999999997078,0.8557441198499768,3.1555888021532628,1.033439360301824,2.1910404653037445,0.0,94.0,4003500.0,0.9560869869577956,0.0,6.598758528320028,160.0,27.91859413288525,16.436714975845412,0.0,0.0,160.0,7.94131949485729,43.9779259517146,2.270882680399179,4003500.0,0.7262979299400221,1663.892371817312
